Unnamed: 0,rank_date,title,rank,author,full_price,selling_price,category,publisher,available?
28,2021-09-27,ปาฏิหาริย์ร้านชำของคุณนามิยะ โดย ฮิงาชิโนะ เคโงะ,38.0,ฮิงาชิโนะ เคโงะ (Keigo Higashino),295.0,250.75,Books/นิยายแปล/นิยายแปล,น้ำพุ,Add to Cart
29,2021-09-27,กุหลาบ ROSES (ฉบับปรับปรุงและเพิ่มเติม),39.0,พจนา นาควัชระ,595.0,505.75,Books/บ้านและสวน/บ้านและสวน,บ้านและสวน,Add to Cart
30,2021-09-27,ศิลปะการพูดให้เหมือนนั่งในใจคน,41.0,คิมยุนนา (Yun-na-Kim),245.0,208.25,Books/จิตวิทยา การพัฒนาตัวเอง/การพัฒนาตัวเอง how to,อมรินทร์ How to,Add to Cart
31,2021-09-27,คนเก่งต้องเก่งคน INTROS UND EXTROS ,42.0,Silvia Lohken (ซิลเวีย เลอห์เคิน),315.0,267.75,Books/จิตวิทยา การพัฒนาตัวเอง/การพัฒนาตัวเอง how to,อมรินทร์ How to,Out of Stock
32,2021-09-27,วิธีปั้นคนแบบโตโยต้า,43.0,OJT Solutions,240.0,204.0,Books/บริหาร ธุรกิจ/การบริหารธุรกิจ,วีเลิร์น (WeLearn),Add to Cart
33,2021-09-27,ปักรักลายบุปผา เล่ม 1-2 (ชุด 2 เล่มจบ),45.0,เย่ว์เซี่ยเตี๋ยอิ่ง (Yue Xia Die Ying),670.0,536.0,Books/นิยายแปล/นิยายจีนแปล,อรุณ,Add to Cart
34,2021-09-27,You Are My Glory ดุจดวงดาวเกียรติยศ (พิมพ์ครั้งที่ 2),46.0,กู้ม่าน,415.0,352.75,Books/นิยายแปล/นิยายจีนแปล,อรุณ,Add to Cart
35,2021-09-27,สัญญาณเตือนตาย เล่ม 2,47.0,โจวเฮ่าฮุย,375.0,281.0,Books/นิยายแปล/นิยายแปล,แพรวสำนักพิมพ์,Add to Cart
36,2021-09-27,เกาหลีใต้ที่นอน,49.0,นัท ศุภวาที,345.0,293.25,Books/วรรณกรรม/เรื่องสั้น,a book อะบุ๊ก,Add to Cart
37,2021-09-27,ตัวร้ายอย่างข้า...จะหนีเอาตัวรอดยังไงดี เล่ม 3 (จบ),50.0,โม่เซียงถงซีว,409.0,327.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,SENSE BOOK (เซ้นส์),Add to Cart
